Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10,4+
Mohammed Shami (IND),2023-2023,7,7,293,48.5,4,257,24,7/57,10.7,5.26,12.2,1,3,-,4
A Zampa (AUS),2023-2023,11,11,576,96.0,1,515,23,4/8,22.39,5.36,25.04,3,-,-,3
D Madushanka (SL),2023-2023,9,9,470,78.2,4,525,21,5/80,25.0,6.7,22.38,1,1,-,2
Mahedi Hasan (BAN),2023-2023,3,3,144,24.0,-,149,6,4/71,24.83,6.2,24.0,1,-,-,1
RJW Topley (ENG),2023-2023,3,3,166,27.4,2,183,8,4/43,22.87,6.61,20.75,1,-,-,1
T Shamsi (SA),2023-2023,4,4,227,37.5,-,212,9,4/60,23.55,5.6,25.22,1,-,-,1
Fazalhaq Farooqi (AFG),2023-2023,6,6,240,40.0,2,228,6,4/34,38.0,5.7,40.0,1,-,-,1
CAK Rajitha (SL),2023-2023,6,6,294,49.0,1,336,8,4/50,42.0,6.85,36.75,1,-,-,1
Hasan Ali (PAK),2023-2023,6,6,306,51.0,2,321,9,4/71,35.66,6.29,34.0,1,-,-,1
CR Woakes (ENG),2023-2023,8,8,330,55.0,1,298,10,4/54,29.8,5.41,33.0,1,-,-,1
G Coetzee (SA),2023-2023,8,8,381,63.3,1,396,20,4/44,19.8,6.23,19.05,1,-,-,1
BFW de Leede (NED),2023-2023,9,8,402,67.0,-,487,16,4/62,30.43,7.26,25.12,1,-,-,1
LV van Beek (NED),2023-2023,8,8,425,70.5,1,476,12,4/74,39.66,6.72,35.41,1,-,-,1
PA van Meekeren (NED),2023-2023,9,9,446,74.2,1,447,12,4/23,37.25,6.01,37.16,1,-,-,1
Shaheen Shah Afridi (PAK),2023-2023,9,9,486,81.0,3,481,18,5/54,26.72,5.93,27.0,-,1,-,1
KA Maharaj (SA),2023-2023,10,10,534,89.0,1,370,15,4/46,24.66,4.15,35.6,1,-,-,1
JJ Bumrah (IND),2023-2023,11,11,551,91.5,9,373,20,4/39,18.65,4.06,27.55,1,-,-,1
MJ Santner (NZ),2023-2023,10,10,556,92.4,4,449,16,5/59,28.06,4.84,34.75,-,1,-,1
RA Jadeja (IND),2023-2023,11,11,561,93.3,4,398,16,5/33,24.87,4.25,35.06,-,1,-,1
