Player,Span,Mat,Inns,Ct,Max,Ct/Inn
DJ Mitchell (NZ),2023-2023,10,10,11,3,1.1
M Labuschagne (AUS),2023-2023,11,11,8,2,0.727
DA Warner (AUS),2023-2023,11,11,8,2,0.727
DA Miller (SA),2023-2023,10,10,7,2,0.7
RA Jadeja (IND),2023-2023,11,11,7,3,0.636
BA Stokes (ENG),2023-2023,6,6,6,3,1.0
SA Engelbrecht (NED),2023-2023,8,8,6,2,0.75
Shubman Gill (IND),2023-2023,9,9,6,2,0.666
DP Conway (NZ),2023-2023,10,10,6,2,0.6
MA Starc (AUS),2023-2023,10,10,6,3,0.6
V Kohli (IND),2023-2023,11,11,6,2,0.545
Usama Mir (PAK),2023-2023,4,4,5,2,1.25
MJ Henry (NZ),2023-2023,7,7,5,2,0.714
Mahmudullah (BAN),2023-2023,8,8,5,2,0.625
JM Bairstow (ENG),2023-2023,9,9,5,2,0.555
BFW de Leede (NED),2023-2023,9,9,5,2,0.555
A Dutt (NED),2023-2023,9,9,5,2,0.555
Ibrahim Zadran (AFG),2023-2023,9,9,5,1,0.555
Litton Das (BAN),2023-2023,9,9,5,2,0.555
Mohammad Nabi (AFG),2023-2023,9,9,5,2,0.555
JE Root (ENG),2023-2023,9,9,5,4,0.555
GD Phillips (NZ),2023-2023,10,10,5,2,0.5
MJ Santner (NZ),2023-2023,10,10,5,2,0.5
SS Iyer (IND),2023-2023,11,11,5,2,0.454
MM Ali (ENG),2023-2023,6,6,4,3,0.666
Towhid Hridoy (BAN),2023-2023,7,7,4,2,0.571
DM de Silva (SL),2023-2023,8,8,4,2,0.5
KIC Asalanka (SL),2023-2023,9,9,4,2,0.444
Babar Azam (PAK),2023-2023,9,9,4,2,0.444
DJ Malan (ENG),2023-2023,9,9,4,2,0.444
GJ Maxwell (AUS),2023-2023,9,9,4,1,0.444
K Rabada (SA),2023-2023,9,9,4,2,0.444
TA Boult (NZ),2023-2023,10,10,4,2,0.4
H Klaasen (SA),2023-2023,10,10,4,2,0.4
KA Maharaj (SA),2023-2023,10,10,4,2,0.4
AK Markram (SA),2023-2023,10,10,4,1,0.4
HE van der Dussen (SA),2023-2023,10,10,4,1,0.4
PJ Cummins (AUS),2023-2023,11,11,4,2,0.363
JR Hazlewood (AUS),2023-2023,11,11,4,2,0.363
Saqib Zulfiqar (NED),2023-2023,2,2,3,2,1.5
Agha Salman (PAK),2023-2023,3,3,3,2,1.0
Fakhar Zaman (PAK),2023-2023,4,4,3,2,0.75
TM Head (AUS),2023-2023,6,6,3,1,0.5
MDKJ Perera (SL),2023-2023,7,7,3,1,0.428
T Bavuma (SA),2023-2023,8,8,3,2,0.375
G Coetzee (SA),2023-2023,8,8,3,2,0.375
CR Woakes (ENG),2023-2023,8,8,3,1,0.375
CN Ackermann (NED),2023-2023,9,9,3,2,0.333
Iftikhar Ahmed (PAK),2023-2023,9,9,3,1,0.333
M Jansen (SA),2023-2023,9,9,3,1,0.333
Najmul Hossain Shanto (BAN),2023-2023,9,9,3,2,0.333
AU Rashid (ENG),2023-2023,9,9,3,1,0.333
Rashid Khan (AFG),2023-2023,9,9,3,1,0.333
Saud Shakeel (PAK),2023-2023,9,9,3,1,0.333
Shaheen Shah Afridi (PAK),2023-2023,9,9,3,1,0.333
Tanzid Hasan (BAN),2023-2023,9,9,3,2,0.333
R Ravindra (NZ),2023-2023,10,10,3,1,0.3
FDM Karunaratne (SL),2023-2023,2,2,2,2,1.0
C Green (AUS),2023-2023,3,3,2,1,0.666
KS Williamson (NZ),2023-2023,4,4,2,1,0.5
LS Livingstone (ENG),2023-2023,6,6,2,1,0.333
Shadab Khan (PAK),2023-2023,6,6,2,1,0.333
MP Stoinis (AUS),2023-2023,6,6,2,1,0.333
WA Young (NZ),2023-2023,6,6,2,1,0.333
Mohammed Shami (IND),2023-2023,7,7,2,2,0.285
AT Nidamanuru (NED),2023-2023,7,7,2,1,0.285
Shakib Al Hasan (BAN),2023-2023,7,7,2,2,0.285
Abdullah Shafique (PAK),2023-2023,8,8,2,2,0.25
Naveen-ul-Haq (AFG),2023-2023,8,8,2,1,0.25
M Theekshana (SL),2023-2023,8,8,2,1,0.25
LV van Beek (NED),2023-2023,8,8,2,1,0.25
RE van der Merwe (NED),2023-2023,8,8,2,1,0.25
Mehidy Hasan Miraz (BAN),2023-2023,9,9,2,2,0.222
P Nissanka (SL),2023-2023,9,9,2,1,0.222
Rahmat Shah (AFG),2023-2023,9,9,2,1,0.222
S Samarawickrama (SL),2023-2023,9,9,2,1,0.222
PA van Meekeren (NED),2023-2023,9,9,2,1,0.222
SPD Smith (AUS),2023-2023,10,10,2,2,0.2
Kuldeep Yadav (IND),2023-2023,11,11,2,1,0.181
RG Sharma (IND),2023-2023,11,11,2,1,0.181
A Zampa (AUS),2023-2023,11,11,2,1,0.181
SA Abbott (AUS),2023-2023,1,1,1,1,1.0
MADI Hemantha (SL),2023-2023,2,2,1,1,0.5
RR Hendricks (SA),2023-2023,2,2,1,1,0.5
MD Shanaka (SL),2023-2023,2,2,1,1,0.5
SM Curran (ENG),2023-2023,3,3,1,1,0.333
C Karunaratne (SL),2023-2023,3,3,1,1,0.333
Mahedi Hasan (BAN),2023-2023,3,3,1,1,0.333
Nasum Ahmed (BAN),2023-2023,3,3,1,1,0.333
JDS Neesham (NZ),2023-2023,3,3,1,1,0.333
SN Thakur (IND),2023-2023,3,3,1,1,0.333
DN Wellalage (SL),2023-2023,3,3,1,1,0.333
W Barresi (NED),2023-2023,4,4,1,1,0.25
Mohammad Wasim (PAK),2023-2023,4,4,1,1,0.25
HH Pandya (IND),2023-2023,4,4,1,1,0.25
Mohammad Nawaz (PAK),2023-2023,5,5,1,1,0.2
Fazalhaq Farooqi (AFG),2023-2023,6,6,1,1,0.166
Imam-ul-Haq (PAK),2023-2023,6,6,1,1,0.166
CAK Rajitha (SL),2023-2023,6,6,1,1,0.166
Vikramjit Singh (NED),2023-2023,6,6,1,1,0.166
