Team 1,Team 2,Runs,Wkts,Overs,RR,Ground,Match Date,Scorecard
Australia,New Zealand,771,19,99.2,7.76,Dharamsala,28 Oct 2023,ODI # 4684
South Africa,Sri Lanka,754,15,94.5,7.95,Delhi,7 Oct 2023,ODI # 4661
India,New Zealand,724,14,98.5,7.32,Wankhede,15 Nov 2023,ODI # 4703
Pakistan,Sri Lanka,689,13,98.2,7.0,Hyderabad,10 Oct 2023,ODI # 4665
Australia,Pakistan,672,19,95.3,7.03,Bengaluru,20 Oct 2023,ODI # 4675
India,Netherlands,660,14,97.5,6.74,Bengaluru,12 Nov 2023,ODI # 4702
Bangladesh,South Africa,615,15,96.4,6.36,Wankhede,24 Oct 2023,ODI # 4680
Australia,Bangladesh,613,10,94.4,6.47,Pune,11 Nov 2023,ODI # 4700
New Zealand,Pakistan,601,7,75.3,7.96,Bengaluru,4 Nov 2023,ODI # 4692
Bangladesh,England,591,19,98.2,6.01,Dharamsala,10 Oct 2023,ODI # 4664
Afghanistan,Australia,584,12,96.5,6.03,Wankhede,7 Nov 2023,ODI # 4696
England,Pakistan,581,19,93.3,6.21,Eden Gardens,11 Nov 2023,ODI # 4701
England,South Africa,569,16,72.0,7.9,Wankhede,21 Oct 2023,ODI # 4677
Afghanistan,Pakistan,568,9,99.0,5.73,Chennai,23 Oct 2023,ODI # 4679
England,New Zealand,565,10,86.2,6.54,Ahmedabad,5 Oct 2023,ODI # 4658
Bangladesh,Sri Lanka,561,17,90.4,6.18,Delhi,6 Nov 2023,ODI # 4695
India,New Zealand,547,16,98.0,5.58,Dharamsala,22 Oct 2023,ODI # 4678
Netherlands,New Zealand,545,17,96.3,5.64,Hyderabad,9 Oct 2023,ODI # 4663
India,Afghanistan,545,10,85.0,6.41,Delhi,11 Oct 2023,ODI # 4666
Pakistan,South Africa,541,19,94.0,5.75,Chennai,27 Oct 2023,ODI # 4683
Australia,England,539,20,97.4,5.51,Ahmedabad,4 Nov 2023,ODI # 4693
Netherlands,Sri Lanka,525,15,98.0,5.35,Lucknow,21 Oct 2023,ODI # 4676
New Zealand,South Africa,524,14,85.3,6.12,Pune,1 Nov 2023,ODI # 4689
England,Netherlands,518,19,87.2,5.93,Pune,8 Nov 2023,ODI # 4697
India,Bangladesh,517,11,91.3,5.65,Pune,19 Oct 2023,ODI # 4674
Afghanistan,England,499,20,90.2,5.52,Delhi,15 Oct 2023,ODI # 4670
Bangladesh,New Zealand,493,11,92.5,5.31,Chennai,13 Oct 2023,ODI # 4668
Afghanistan,South Africa,491,15,97.3,5.03,Ahmedabad,10 Nov 2023,ODI # 4699
Netherlands,Pakistan,491,20,90.0,5.45,Hyderabad,6 Oct 2023,ODI # 4659
Australia,Netherlands,489,18,71.0,6.88,Delhi,25 Oct 2023,ODI # 4681
Australia,South Africa,488,17,90.5,5.37,Lucknow,12 Oct 2023,ODI # 4667
Afghanistan,Sri Lanka,483,13,94.5,5.09,Pune,30 Oct 2023,ODI # 4687
India,Australia,481,14,93.0,5.17,Ahmedabad,19 Nov 2023,ODI # 4705
Netherlands,South Africa,452,18,85.5,5.26,Dharamsala,17 Oct 2023,ODI # 4672
Australia,South Africa,427,17,97.0,4.4,Eden Gardens,16 Nov 2023,ODI # 4704
Afghanistan,New Zealand,427,16,84.4,5.04,Chennai,18 Oct 2023,ODI # 4673
Australia,Sri Lanka,424,15,78.5,5.37,Lucknow,16 Oct 2023,ODI # 4671
India,Sri Lanka,412,18,69.4,5.91,Wankhede,2 Nov 2023,ODI # 4690
India,South Africa,409,15,77.1,5.3,Eden Gardens,5 Nov 2023,ODI # 4694
Bangladesh,Pakistan,409,13,77.4,5.26,Eden Gardens,31 Oct 2023,ODI # 4688
India,Australia,400,14,90.5,4.4,Chennai,8 Oct 2023,ODI # 4662
India,Pakistan,383,13,73.2,5.22,Ahmedabad,14 Oct 2023,ODI # 4669
Bangladesh,Netherlands,371,20,92.2,4.01,Eden Gardens,28 Oct 2023,ODI # 4685
Afghanistan,Netherlands,360,13,78.0,4.61,Lucknow,3 Nov 2023,ODI # 4691
India,England,358,19,84.5,4.22,Lucknow,29 Oct 2023,ODI # 4686
New Zealand,Sri Lanka,343,15,70.0,4.9,Bengaluru,9 Nov 2023,ODI # 4698
England,Sri Lanka,316,12,59.0,5.35,Bengaluru,26 Oct 2023,ODI # 4682
Afghanistan,Bangladesh,314,14,72.0,4.36,Dharamsala,7 Oct 2023,ODI # 4660
